"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.10.2021","0,00001700","0,00001710","0,00001720","0,00001690","121,77K","-0,58%"
"27.10.2021","0,00001710","0,00001660","0,00001730","0,00001630","122,08K","3,01%"
"26.10.2021","0,00001660","0,00001590","0,00001710","0,00001580","99,14K","4,40%"
"25.10.2021","0,00001590","0,00001650","0,00001650","0,00001570","189,15K","-3,64%"
"24.10.2021","0,00001650","0,00001640","0,00001680","0,00001630","88,02K","0,61%"
"23.10.2021","0,00001640","0,00001650","0,00001670","0,00001620","37,35K","-0,61%"
"22.10.2021","0,00001650","0,00001610","0,00001660","0,00001570","194,85K","2,48%"
"21.10.2021","0,00001610","0,00001510","0,00001610","0,00001500","177,00K","6,62%"
"20.10.2021","0,00001510","0,00001560","0,00001580","0,00001490","224,65K","-3,21%"
"19.10.2021","0,00001560","0,00001620","0,00001630","0,00001550","334,54K","-3,70%"
"18.10.2021","0,00001620","0,00001630","0,00001670","0,00001600","227,44K","-0,61%"
"17.10.2021","0,00001630","0,00001640","0,00001690","0,00001630","328,67K","-0,61%"
"16.10.2021","0,00001640","0,00001620","0,00001660","0,00001600","147,02K","1,23%"
"15.10.2021","0,00001620","0,00001750","0,00001760","0,00001590","340,11K","-7,43%"
"14.10.2021","0,00001750","0,00001750","0,00001760","0,00001710","432,28K","0,00%"
"13.10.2021","0,00001750","0,00001780","0,00001850","0,00001730","411,08K","-1,69%"
"12.10.2021","0,00001780","0,00001740","0,00001850","0,00001740","446,67K","2,30%"
"11.10.2021","0,00001740","0,00001830","0,00001840","0,00001730","184,69K","-4,92%"
"10.10.2021","0,00001830","0,00001820","0,00001840","0,00001770","37,88K","0,55%"
"09.10.2021","0,00001820","0,00001860","0,00001860","0,00001800","50,16K","-2,15%"
"08.10.2021","0,00001860","0,00001860","0,00001870","0,00001780","73,34K","0,00%"
"07.10.2021","0,00001860","0,00001810","0,00001870","0,00001800","678,09K","2,76%"
"06.10.2021","0,00001810","0,00001940","0,00001980","0,00001800","577,28K","-6,70%"
"05.10.2021","0,00001940","0,00002030","0,00002040","0,00001930","423,49K","-4,43%"
"04.10.2021","0,00002030","0,00002080","0,00002120","0,00002030","680,68K","-2,40%"
"03.10.2021","0,00002080","0,00002100","0,00002120","0,00002030","271,69K","-0,95%"
"02.10.2021","0,00002100","0,00002080","0,00002110","0,00002070","143,41K","0,96%"
"01.10.2021","0,00002080","0,00002280","0,00002320","0,00002060","1,80M","-8,77%"
"30.09.2021","0,00002280","0,00002410","0,00002410","0,00002270","186,81K","-5,39%"
"29.09.2021","0,00002410","0,00002440","0,00002460","0,00002350","182,83K","-1,23%"
"28.09.2021","0,00002440","0,00002370","0,00002450","0,00002340","212,29K","2,95%"